Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,HHK,BHK,HAK,Žaṙangut’yun,AJD,OEK,TD,YeLQ,AD,ORO,HKK,IKD,LH,ST,HK,AŽB,HD,PUD,HDK,HQDŠ,Other
Gallup,,2021-02-15,2021-02-17,Not Available,Not Available,Not Available,72.8%,0.1%,3.0%,6.0%,Not Available,Not Available,3.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,45.5%,3.6%,Not Available,1.0%,0.5%,Not Available,Not Available,Not Available,Not Available,Not Available
Breavis,International Republican Institute,2021-02-08,2021-02-16,Not Available,1510,Provided,44%,1%,2%,7%,Not Available,Not Available,2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,75%,2%,Not Available,Not Available,2%,Not Available,Not Available,Not Available,Not Available,Not Available
Gallup,,2020-06-10,2020-06-27,Not Available,1002,Provided,72%,0.1%,1.9%,8.3%,Not Available,Not Available,2.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,76.4%,6.9%,Not Available,Not Available,0.1%,Not Available,Not Available,Not Available,Not Available,Not Available
Gallup,,2019-11-09,2019-12-01,Not Available,1517,Provided,Not Available,0.1%,1.5%,14.2%,Not Available,Not Available,2.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,61.3%,3.9%,1.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Gallup,International Republican Institute,2019-09-20,2019-10-13,Not Available,1200,Provided,89%,1%,4%,21%,Not Available,Not Available,3%,Not Available,Not Available,Not Available,1%,Not Available,Not Available,62%,7%,Not Available,1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Gallup,International Republican Institute,2019-05-06,2019-05-31,Not Available,1200,Provided,85%,1%,6%,14%,Not Available,Not Available,5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,69%,5%,1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Gallup,,2019-04-30,2019-05-09,Not Available,1108,Provided,Not Available,0.1%,1.6%,11.9%,Not Available,Not Available,1.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,60%,4.6%,1.21%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Gallup,,2018-12-01,2018-12-04,Not Available,1100,Provided,Not Available,0.1%,1.3%,5.7%,Not Available,Not Available,1.2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,69.4%,3.8%,1.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Gallup,,2018-11-17,2018-11-21,Not Available,Not Available,Not Available,Not Available,0.1%,1.5%,6.7%,Not Available,Not Available,1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,68.3%,1.2%,0.9%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Gallup,International Republican Institute,2018-10-09,2018-10-29,Not Available,1200,Provided,95%,1%,2%,9%,Not Available,0%,2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,71%,11%,3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Gallup,International Republican Institute,2018-05-04,2018-08-15,Not Available,1200,Provided,89%,1%,4%,15%,Not Available,1%,2%,Not Available,Not Available,74%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Gallup,,2018-05-04,2018-05-09,Not Available,Not Available,Not Available,Not Available,0.1%,3.8%,3.2%,Not Available,0.4%,1.9%,Not Available,Not Available,75%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Gallup,,2017-03-18,2017-03-27,Not Available,1005,Provided,96%,1%,31%,Not Available,4%,Not Available,7%,5%,30%,9%,3%,4%,3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Gallup,,2017-03-12,2017-03-19,Not Available,Not Available,Not Available,Not Available,0.1%,29.4%,Not Available,2.9%,Not Available,4.8%,3.4%,28.2%,6.1%,4.4%,2.5%,1.2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Gallup,,2017-02-23,2017-03-02,Not Available,1146,Provided,Not Available,0.1%,22.8%,Not Available,2.6%,Not Available,3.9%,2.7%,26.4%,4.3%,3.4%,1.8%,1.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Հետք,,2012-05-05,2012-05-05,Not Available,Not Available,Not Available,96%,1%,10%,11%,29%,11%,26%,2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9%
Gallup,,2012-04-17,2012-04-23,Not Available,Not Available,Not Available,70%,0.1%,39.1%,29.9%,12.1%,6.3%,5.3%,6.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.0%
TNS Opinion,European Friends of Armenia,2012-04-17,2012-04-22,Not Available,1600,Provided,75.7%,0.1%,44.0%,34.3%,3.8%,5.3%,4.2%,4.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.8%
Gallup,,2012-04-04,2012-04-10,Not Available,1018,Provided,81.3%,0.1%,41.8%,34.4%,8.2%,4.3%,5.7%,5.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
“My Opinion” Civil Initiative,,2012-03-27,2012-03-27,Not Available,Not Available,Not Available,90%,1%,9%,43%,29%,4%,14%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Sociometer,,2012-03-26,2012-03-26,Not Available,Not Available,Not Available,Not Available,1%,40%,35%,8–9%,5–6%,6–7%,5–6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TNS Opinion,European Friends of Armenia,2012-02-25,2012-03-05,Not Available,1602,Provided,65.5%,0.1%,37.4%,41.4%,4.9%,4.0%,5.0%,4.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.0%
“500 Voices” Social Research Group,,2012-02-14,2012-02-14,Not Available,Not Available,Not Available,89%,1%,10%,40%,30%,6%,13%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Research Center of Political Developments,,2012-02-06,2012-02-06,Not Available,1200,Provided,80%,1%,42%,26%,16%,9%,4%,2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
